Start Training:
Iter: 0, Loss: 1.08088e+00, Loss0: 7.72734e-01, Loss_b: 1.67150e-01, Loss_f: 1.40992e-01, Loss_prev: 0.00000e+00
Iter: 100, Loss: 4.26947e-01, Loss0: 3.97230e-01, Loss_b: 1.51260e-03, Loss_f: 2.82037e-02, Loss_prev: 0.00000e+00
Iter: 200, Loss: 1.12245e-01, Loss0: 8.61017e-02, Loss_b: 2.66411e-03, Loss_f: 2.34795e-02, Loss_prev: 0.00000e+00
Iter: 300, Loss: 6.18772e-02, Loss0: 3.99684e-02, Loss_b: 1.62710e-03, Loss_f: 2.02817e-02, Loss_prev: 0.00000e+00
Iter: 400, Loss: 3.82777e-02, Loss0: 2.34338e-02, Loss_b: 1.65589e-04, Loss_f: 1.46782e-02, Loss_prev: 0.00000e+00
Iter: 500, Loss: 2.71178e-02, Loss0: 1.58572e-02, Loss_b: 2.61622e-04, Loss_f: 1.09990e-02, Loss_prev: 0.00000e+00
Iter: 600, Loss: 3.76913e-02, Loss0: 1.08634e-02, Loss_b: 3.89760e-03, Loss_f: 2.29303e-02, Loss_prev: 0.00000e+00
Iter: 700, Loss: 1.91419e-02, Loss0: 1.16048e-02, Loss_b: 1.66699e-05, Loss_f: 7.52037e-03, Loss_prev: 0.00000e+00
Iter: 800, Loss: 5.88116e-02, Loss0: 1.78621e-02, Loss_b: 6.02265e-03, Loss_f: 3.49269e-02, Loss_prev: 0.00000e+00
Iter: 900, Loss: 1.46763e-02, Loss0: 8.79449e-03, Loss_b: 8.42686e-06, Loss_f: 5.87338e-03, Loss_prev: 0.00000e+00
Iter: 1000, Loss: 1.34928e-02, Loss0: 7.99911e-03, Loss_b: 1.21510e-05, Loss_f: 5.48152e-03, Loss_prev: 0.00000e+00
Iter: 1100, Loss: 1.24640e-02, Loss0: 7.40996e-03, Loss_b: 1.25867e-05, Loss_f: 5.04143e-03, Loss_prev: 0.00000e+00
Iter: 1200, Loss: 1.16082e-02, Loss0: 7.03677e-03, Loss_b: 2.05416e-05, Loss_f: 4.55085e-03, Loss_prev: 0.00000e+00
Iter: 1300, Loss: 1.09264e-02, Loss0: 6.68686e-03, Loss_b: 1.75435e-05, Loss_f: 4.22196e-03, Loss_prev: 0.00000e+00
Iter: 1400, Loss: 1.47850e-02, Loss0: 5.96167e-03, Loss_b: 2.53111e-03, Loss_f: 6.29222e-03, Loss_prev: 0.00000e+00
Iter: 1500, Loss: 2.29402e-02, Loss0: 8.60502e-03, Loss_b: 1.08439e-03, Loss_f: 1.32508e-02, Loss_prev: 0.00000e+00
Iter: 1600, Loss: 1.25597e-02, Loss0: 6.93340e-03, Loss_b: 5.72430e-04, Loss_f: 5.05390e-03, Loss_prev: 0.00000e+00
Iter: 1700, Loss: 8.92980e-03, Loss0: 5.45141e-03, Loss_b: 1.07582e-05, Loss_f: 3.46763e-03, Loss_prev: 0.00000e+00
Iter: 1800, Loss: 9.30530e-03, Loss0: 4.83065e-03, Loss_b: 1.00576e-04, Loss_f: 4.37407e-03, Loss_prev: 0.00000e+00
Iter: 1900, Loss: 8.15256e-03, Loss0: 5.09797e-03, Loss_b: 5.17598e-06, Loss_f: 3.04942e-03, Loss_prev: 0.00000e+00
Iter: 2000, Loss: 7.86319e-03, Loss0: 4.87040e-03, Loss_b: 6.72858e-06, Loss_f: 2.98606e-03, Loss_prev: 0.00000e+00
Iter: 2100, Loss: 7.50533e-03, Loss0: 4.75089e-03, Loss_b: 7.19105e-06, Loss_f: 2.74725e-03, Loss_prev: 0.00000e+00
Iter: 2200, Loss: 7.26647e-03, Loss0: 4.52217e-03, Loss_b: 2.01978e-05, Loss_f: 2.72410e-03, Loss_prev: 0.00000e+00
Iter: 2300, Loss: 6.92358e-03, Loss0: 4.46416e-03, Loss_b: 7.20774e-06, Loss_f: 2.45221e-03, Loss_prev: 0.00000e+00
Iter: 2400, Loss: 6.96443e-03, Loss0: 4.52555e-03, Loss_b: 4.18565e-05, Loss_f: 2.39703e-03, Loss_prev: 0.00000e+00
Iter: 2500, Loss: 8.21845e-03, Loss0: 3.86145e-03, Loss_b: 3.27489e-04, Loss_f: 4.02951e-03, Loss_prev: 0.00000e+00
Iter: 2600, Loss: 1.58142e-02, Loss0: 6.00469e-03, Loss_b: 7.02158e-04, Loss_f: 9.10731e-03, Loss_prev: 0.00000e+00
Iter: 2700, Loss: 6.39897e-03, Loss0: 3.98898e-03, Loss_b: 1.36008e-04, Loss_f: 2.27397e-03, Loss_prev: 0.00000e+00
Iter: 2800, Loss: 5.81197e-03, Loss0: 3.77055e-03, Loss_b: 3.00856e-05, Loss_f: 2.01133e-03, Loss_prev: 0.00000e+00
Iter: 2900, Loss: 5.97665e-03, Loss0: 3.50477e-03, Loss_b: 1.44706e-04, Loss_f: 2.32717e-03, Loss_prev: 0.00000e+00
Iter: 3000, Loss: 5.37785e-03, Loss0: 3.48613e-03, Loss_b: 5.80288e-06, Loss_f: 1.88591e-03, Loss_prev: 0.00000e+00
Iter: 3100, Loss: 5.23424e-03, Loss0: 3.48514e-03, Loss_b: 3.22952e-06, Loss_f: 1.74587e-03, Loss_prev: 0.00000e+00
Iter: 3200, Loss: 2.25351e-02, Loss0: 5.54135e-03, Loss_b: 1.05296e-03, Loss_f: 1.59408e-02, Loss_prev: 0.00000e+00
Iter: 3300, Loss: 1.29542e-02, Loss0: 2.66904e-03, Loss_b: 1.95276e-04, Loss_f: 1.00899e-02, Loss_prev: 0.00000e+00
Iter: 3400, Loss: 4.86831e-03, Loss0: 3.18785e-03, Loss_b: 5.17802e-05, Loss_f: 1.62867e-03, Loss_prev: 0.00000e+00
Iter: 3500, Loss: 4.72096e-03, Loss0: 3.12377e-03, Loss_b: 3.20457e-06, Loss_f: 1.59398e-03, Loss_prev: 0.00000e+00
Iter: 3600, Loss: 4.97630e-03, Loss0: 2.82402e-03, Loss_b: 8.80859e-05, Loss_f: 2.06420e-03, Loss_prev: 0.00000e+00
Iter: 3700, Loss: 4.83162e-03, Loss0: 3.10738e-03, Loss_b: 4.71493e-05, Loss_f: 1.67709e-03, Loss_prev: 0.00000e+00
Iter: 3800, Loss: 4.71407e-03, Loss0: 2.68638e-03, Loss_b: 1.77487e-05, Loss_f: 2.00994e-03, Loss_prev: 0.00000e+00
Iter: 3900, Loss: 4.27961e-03, Loss0: 2.83713e-03, Loss_b: 5.86669e-06, Loss_f: 1.43662e-03, Loss_prev: 0.00000e+00
Iter: 4000, Loss: 5.36900e-03, Loss0: 3.33557e-03, Loss_b: 1.40616e-04, Loss_f: 1.89281e-03, Loss_prev: 0.00000e+00
Iter: 4100, Loss: 4.16269e-03, Loss0: 2.62131e-03, Loss_b: 5.70612e-06, Loss_f: 1.53568e-03, Loss_prev: 0.00000e+00
Iter: 4200, Loss: 8.36629e-03, Loss0: 2.45421e-03, Loss_b: 3.19616e-04, Loss_f: 5.59247e-03, Loss_prev: 0.00000e+00
Iter: 4300, Loss: 4.08742e-03, Loss0: 2.62110e-03, Loss_b: 3.09595e-05, Loss_f: 1.43536e-03, Loss_prev: 0.00000e+00
Iter: 4400, Loss: 3.88262e-03, Loss0: 2.57148e-03, Loss_b: 3.63725e-06, Loss_f: 1.30750e-03, Loss_prev: 0.00000e+00
Iter: 4500, Loss: 3.83240e-03, Loss0: 2.53630e-03, Loss_b: 7.20286e-06, Loss_f: 1.28889e-03, Loss_prev: 0.00000e+00
Iter: 4600, Loss: 3.71701e-03, Loss0: 2.43515e-03, Loss_b: 3.65703e-06, Loss_f: 1.27820e-03, Loss_prev: 0.00000e+00
Iter: 4700, Loss: 7.83773e-03, Loss0: 1.98831e-03, Loss_b: 8.07176e-04, Loss_f: 5.04224e-03, Loss_prev: 0.00000e+00
Iter: 4800, Loss: 1.46338e-02, Loss0: 3.41088e-03, Loss_b: 2.66740e-04, Loss_f: 1.09562e-02, Loss_prev: 0.00000e+00
Iter: 4900, Loss: 3.79359e-03, Loss0: 2.14177e-03, Loss_b: 6.27346e-05, Loss_f: 1.58908e-03, Loss_prev: 0.00000e+00
Iter: 5000, Loss: 4.81349e-03, Loss0: 2.18220e-03, Loss_b: 1.42606e-04, Loss_f: 2.48868e-03, Loss_prev: 0.00000e+00
Iter: 5100, Loss: 2.24024e-03, Loss0: 1.23126e-03, Loss_b: 4.24191e-06, Loss_f: 1.00474e-03, Loss_prev: 0.00000e+00
Iter: 5200, Loss: 1.43407e-03, Loss0: 7.30594e-04, Loss_b: 8.11887e-06, Loss_f: 6.95360e-04, Loss_prev: 0.00000e+00
Iter: 5300, Loss: 1.01111e-03, Loss0: 4.30942e-04, Loss_b: 4.64239e-06, Loss_f: 5.75530e-04, Loss_prev: 0.00000e+00
Iter: 5400, Loss: 7.21790e-04, Loss0: 2.74370e-04, Loss_b: 4.04122e-06, Loss_f: 4.43378e-04, Loss_prev: 0.00000e+00
Iter: 5500, Loss: 5.21894e-04, Loss0: 1.83958e-04, Loss_b: 2.09010e-06, Loss_f: 3.35845e-04, Loss_prev: 0.00000e+00
Iter: 5600, Loss: 3.96776e-04, Loss0: 1.33694e-04, Loss_b: 2.68494e-06, Loss_f: 2.60397e-04, Loss_prev: 0.00000e+00
Iter: 5700, Loss: 3.00560e-04, Loss0: 8.72475e-05, Loss_b: 7.74311e-07, Loss_f: 2.12538e-04, Loss_prev: 0.00000e+00
Iter: 5800, Loss: 2.35865e-04, Loss0: 6.58909e-05, Loss_b: 1.18701e-06, Loss_f: 1.68787e-04, Loss_prev: 0.00000e+00
Iter: 5900, Loss: 1.91559e-04, Loss0: 4.23192e-05, Loss_b: 7.09145e-07, Loss_f: 1.48531e-04, Loss_prev: 0.00000e+00
Iter: 6000, Loss: 1.52872e-04, Loss0: 3.41800e-05, Loss_b: 7.31331e-07, Loss_f: 1.17961e-04, Loss_prev: 0.00000e+00
Iter: 6100, Loss: 1.23972e-04, Loss0: 2.08375e-05, Loss_b: 8.79390e-07, Loss_f: 1.02255e-04, Loss_prev: 0.00000e+00
Iter: 6200, Loss: 1.03307e-04, Loss0: 1.45282e-05, Loss_b: 1.10094e-06, Loss_f: 8.76781e-05, Loss_prev: 0.00000e+00
Iter: 6300, Loss: 8.61408e-05, Loss0: 1.00985e-05, Loss_b: 8.94794e-07, Loss_f: 7.51475e-05, Loss_prev: 0.00000e+00
Iter: 6400, Loss: 7.31452e-05, Loss0: 8.72435e-06, Loss_b: 4.54530e-07, Loss_f: 6.39664e-05, Loss_prev: 0.00000e+00
Iter: 6500, Loss: 6.11083e-05, Loss0: 6.60332e-06, Loss_b: 7.31357e-07, Loss_f: 5.37736e-05, Loss_prev: 0.00000e+00
Iter: 6600, Loss: 5.31623e-05, Loss0: 5.73290e-06, Loss_b: 4.25496e-07, Loss_f: 4.70039e-05, Loss_prev: 0.00000e+00
Iter: 6700, Loss: 4.47275e-05, Loss0: 4.01725e-06, Loss_b: 4.01371e-07, Loss_f: 4.03089e-05, Loss_prev: 0.00000e+00
Iter: 6800, Loss: 3.85164e-05, Loss0: 2.90406e-06, Loss_b: 2.53329e-07, Loss_f: 3.53590e-05, Loss_prev: 0.00000e+00
Iter: 6900, Loss: 3.31751e-05, Loss0: 2.07452e-06, Loss_b: 1.24355e-07, Loss_f: 3.09762e-05, Loss_prev: 0.00000e+00
Iter: 7000, Loss: 2.87917e-05, Loss0: 1.86906e-06, Loss_b: 2.09051e-07, Loss_f: 2.67136e-05, Loss_prev: 0.00000e+00
Iter: 7100, Loss: 2.50599e-05, Loss0: 1.55715e-06, Loss_b: 1.80761e-07, Loss_f: 2.33219e-05, Loss_prev: 0.00000e+00
Iter: 7200, Loss: 2.19499e-05, Loss0: 1.49026e-06, Loss_b: 1.59627e-07, Loss_f: 2.03000e-05, Loss_prev: 0.00000e+00
Iter: 7300, Loss: 1.97026e-05, Loss0: 1.20600e-06, Loss_b: 1.26617e-07, Loss_f: 1.83700e-05, Loss_prev: 0.00000e+00
Iter: 7400, Loss: 1.78601e-05, Loss0: 1.05302e-06, Loss_b: 1.15768e-07, Loss_f: 1.66913e-05, Loss_prev: 0.00000e+00
Iter: 7500, Loss: 1.61556e-05, Loss0: 8.88104e-07, Loss_b: 9.26849e-08, Loss_f: 1.51748e-05, Loss_prev: 0.00000e+00
Iter: 7600, Loss: 1.46377e-05, Loss0: 7.62626e-07, Loss_b: 7.52715e-08, Loss_f: 1.37998e-05, Loss_prev: 0.00000e+00
Iter: 7700, Loss: 1.34945e-05, Loss0: 7.50917e-07, Loss_b: 8.63069e-08, Loss_f: 1.26573e-05, Loss_prev: 0.00000e+00
Iter: 7800, Loss: 1.24664e-05, Loss0: 5.75262e-07, Loss_b: 6.30610e-08, Loss_f: 1.18280e-05, Loss_prev: 0.00000e+00
Iter: 7900, Loss: 1.15258e-05, Loss0: 4.04098e-07, Loss_b: 6.41586e-08, Loss_f: 1.10575e-05, Loss_prev: 0.00000e+00
Iter: 8000, Loss: 1.07274e-05, Loss0: 3.50093e-07, Loss_b: 9.61875e-08, Loss_f: 1.02811e-05, Loss_prev: 0.00000e+00
Iter: 8100, Loss: 9.98917e-06, Loss0: 2.99343e-07, Loss_b: 7.14347e-08, Loss_f: 9.61839e-06, Loss_prev: 0.00000e+00
Iter: 8200, Loss: 9.37406e-06, Loss0: 2.92153e-07, Loss_b: 5.92593e-08, Loss_f: 9.02264e-06, Loss_prev: 0.00000e+00
Iter: 8300, Loss: 8.66300e-06, Loss0: 2.54320e-07, Loss_b: 6.11138e-08, Loss_f: 8.34757e-06, Loss_prev: 0.00000e+00
Iter: 8400, Loss: 8.04034e-06, Loss0: 2.66359e-07, Loss_b: 6.69306e-08, Loss_f: 7.70705e-06, Loss_prev: 0.00000e+00
Iter: 8500, Loss: 7.54724e-06, Loss0: 2.82043e-07, Loss_b: 1.01517e-07, Loss_f: 7.16368e-06, Loss_prev: 0.00000e+00
Iter: 8600, Loss: 7.09733e-06, Loss0: 2.56174e-07, Loss_b: 8.83012e-08, Loss_f: 6.75286e-06, Loss_prev: 0.00000e+00
Iter: 8700, Loss: 6.68938e-06, Loss0: 2.31889e-07, Loss_b: 6.80285e-08, Loss_f: 6.38946e-06, Loss_prev: 0.00000e+00
Iter: 8800, Loss: 6.33164e-06, Loss0: 2.11468e-07, Loss_b: 5.57937e-08, Loss_f: 6.06438e-06, Loss_prev: 0.00000e+00
Iter: 8900, Loss: 5.99718e-06, Loss0: 2.16365e-07, Loss_b: 5.42186e-08, Loss_f: 5.72660e-06, Loss_prev: 0.00000e+00
Iter: 9000, Loss: 5.65835e-06, Loss0: 2.14152e-07, Loss_b: 6.31998e-08, Loss_f: 5.38100e-06, Loss_prev: 0.00000e+00
Iter: 9100, Loss: 5.33468e-06, Loss0: 2.16766e-07, Loss_b: 6.68099e-08, Loss_f: 5.05110e-06, Loss_prev: 0.00000e+00
Iter: 9200, Loss: 5.05429e-06, Loss0: 2.13563e-07, Loss_b: 7.52178e-08, Loss_f: 4.76551e-06, Loss_prev: 0.00000e+00
Iter: 9300, Loss: 4.83736e-06, Loss0: 2.08445e-07, Loss_b: 6.92297e-08, Loss_f: 4.55969e-06, Loss_prev: 0.00000e+00
Iter: 9400, Loss: 4.66866e-06, Loss0: 2.00520e-07, Loss_b: 5.98366e-08, Loss_f: 4.40830e-06, Loss_prev: 0.00000e+00
Training time: 656.2556
