Start Training:
Iter: 0, Loss: 2.78284e+00, Loss0: 1.76866e+00, Loss_b: 3.89879e-08, Loss_f: 3.19576e-06, Loss_prev: 1.01418e+00
Iter: 100, Loss: 9.78549e-01, Loss0: 1.03760e-01, Loss_b: 3.86688e-04, Loss_f: 6.07538e-02, Loss_prev: 8.13649e-01
Iter: 200, Loss: 8.49895e-01, Loss0: 4.55366e-02, Loss_b: 1.41143e-04, Loss_f: 5.91255e-02, Loss_prev: 7.45091e-01
Iter: 300, Loss: 6.58369e-01, Loss0: 2.70714e-02, Loss_b: 6.97388e-05, Loss_f: 5.14440e-02, Loss_prev: 5.79784e-01
Iter: 400, Loss: 5.15022e-02, Loss0: 1.34745e-02, Loss_b: 7.58885e-05, Loss_f: 2.11577e-02, Loss_prev: 1.67941e-02
Iter: 500, Loss: 2.34579e-02, Loss0: 6.43327e-03, Loss_b: 1.50968e-05, Loss_f: 7.16269e-03, Loss_prev: 9.84690e-03
Iter: 600, Loss: 1.82920e-02, Loss0: 4.64593e-03, Loss_b: 1.31861e-05, Loss_f: 5.34630e-03, Loss_prev: 8.28662e-03
Iter: 700, Loss: 1.51864e-02, Loss0: 3.58711e-03, Loss_b: 9.68368e-06, Loss_f: 4.50627e-03, Loss_prev: 7.08330e-03
Iter: 800, Loss: 1.29133e-02, Loss0: 2.85375e-03, Loss_b: 7.59884e-06, Loss_f: 3.90491e-03, Loss_prev: 6.14706e-03
Iter: 900, Loss: 2.32627e-02, Loss0: 2.34830e-03, Loss_b: 1.35051e-04, Loss_f: 1.55562e-02, Loss_prev: 5.22318e-03
Iter: 1000, Loss: 9.96519e-03, Loss0: 1.90048e-03, Loss_b: 6.27886e-06, Loss_f: 2.93069e-03, Loss_prev: 5.12773e-03
Iter: 1100, Loss: 9.20426e-03, Loss0: 1.54207e-03, Loss_b: 3.51178e-06, Loss_f: 2.42373e-03, Loss_prev: 5.23495e-03
Iter: 1200, Loss: 1.28601e-02, Loss0: 1.36452e-03, Loss_b: 3.15524e-05, Loss_f: 6.12801e-03, Loss_prev: 5.33605e-03
Iter: 1300, Loss: 7.57680e-03, Loss0: 1.18904e-03, Loss_b: 5.40247e-06, Loss_f: 2.13285e-03, Loss_prev: 4.24950e-03
Iter: 1400, Loss: 7.22034e-03, Loss0: 1.02281e-03, Loss_b: 6.50621e-06, Loss_f: 1.98848e-03, Loss_prev: 4.20254e-03
Iter: 1500, Loss: 7.48287e-03, Loss0: 8.46248e-04, Loss_b: 8.30652e-06, Loss_f: 1.94582e-03, Loss_prev: 4.68250e-03
